Week,dont say gay bill: (United States),Parental Rights in Education bill: (United States),zander moricz: (United States)
5/23/21,0,0,0
5/30/21,0,0,0
6/6/21,0,0,0
6/13/21,0,0,0
6/20/21,0,0,0
6/27/21,0,0,0
7/4/21,0,0,0
7/11/21,0,0,0
7/18/21,0,0,0
7/25/21,0,0,0
8/1/21,0,0,0
8/8/21,0,0,0
8/15/21,0,0,0
8/22/21,0,0,0
8/29/21,0,0,0
9/5/21,0,0,0
9/12/21,0,0,0
9/19/21,0,0,0
9/26/21,0,0,0
10/3/21,0,0,0
10/10/21,0,0,0
10/17/21,0,0,0
10/24/21,0,0,0
10/31/21,0,0,0
11/7/21,0,0,0
11/14/21,0,0,0
11/21/21,0,0,<1
11/28/21,0,0,0
12/5/21,0,0,0
12/12/21,0,0,0
12/19/21,0,0,0
12/26/21,0,0,0
1/2/22,0,0,0
1/9/22,0,<1,0
1/16/22,<1,<1,0
1/23/22,9,<1,0
1/30/22,4,0,0
2/6/22,19,<1,0
2/13/22,7,<1,0
2/20/22,26,<1,0
2/27/22,19,<1,0
3/6/22,100,6,0
3/13/22,34,4,0
3/20/22,31,3,<1
3/27/22,43,9,<1
4/3/22,32,5,0
4/10/22,18,3,0
4/17/22,22,5,0
4/24/22,12,2,0
5/1/22,6,1,0
5/8/22,5,1,1
5/15/22,4,1,<1